"A00","Colera"
"K558","Altri disturbi vascolari dell'intestino"
"K559","Disturbo vascolare dell'intestino, non specificato"
"K560","Ileo paralitico"
"K561","Intussuscezione"
"K562","Volvolo"
"K563","Ileo da calcolo biliare"
"K564","Altro intasamento intestinale"
"K565","Aderenze intestinali (briglie) con ostruzione"
"K566","Altra e non specificata forma di ostruzione intestinale"
"K567","Ileo non specificato"
"K570","Malattia diverticolare dell’intestino tenue con perforazione ed ascesso"
"K571","Malattia diverticolare dell’intestino tenue senza perforazione o ascesso"
"K572","Malattia diverticolare del colon con perforazione ed ascesso"
"K573","Malattia diverticolare del colon senza perforazione o ascesso"
"K574","Malattia diverticolare concomitante dell’intestino tenue e del colon con perforazione ed ascesso"
"K575","Malattia diverticolare concomitante dell’intestino tenue e del colon senza perforazione o ascesso"
"K578","Malattia diverticolare dell'intestino, parte non specificata, con perforazione ed ascesso"
"K579","Malattia diverticolare dell'intestino, parte non specificata, senza perforazione o ascesso"
"K580","Sindrome dell'intestino irritabile con diarrea"
"K589","Sindrome dell'intestino irritabile senza diarrea"
"K590","Stipsi"
"K591","Diarrea funzionale"
"K592","Intestino neurogeno non classificato altrove"
"K593","Megacolon non classificato altrove"
"K594","Spasmo anale"
"K598","Altri disturbi funzionali specificati dell'intestino"
"K599","Disturbo funzionale intestinale non specificato"
"K600","Ragade anale acuta"
"K601","Ragade anale cronica"
"K602","Ragade anale non specificata"
"K603","Fistola anale"
"K604","Fistola rettale"
"K605","Fistola anorettale"
"K610","Ascesso anale"
"K611","Ascesso rettale"
"K612","Ascesso anorettale"
"K613","Ascesso ischiorettale"
"K614","Ascesso intrasfinterico"
"K620","Polipo anale"
"K621","Polipo rettale"
"K622","Prolasso anale"
"K623","Prolasso rettale"
"K624","Stenosi dell'ano e del retto"
"K625","Emorragia anale e rettale"
"K626","Ulcera anale e rettale"
"K627","Proctite da raggi"
"K628","Altre malattie specificate dell'ano e del retto"
"K629","Malattia dell'ano e del retto non specificata"
"K630","Ascesso intestinale"
"K631","Perforazione intestinale (non traumatica)"
"K632","Fistola intestinale"
"K633","Ulcera intestinale"
"K634","Enteroptosi"
"K635","Polipo del colon"
"K638","Altre malattie specificate dell'intestino"
"K639","Malattia intestinale non specificata"
"K650","Peritonite acuta"
"K658","Altra peritonite"
"K659","Peritonite non specificata"
"K660","Aderenze peritoneali"
"K661","Emoperitoneo"
"K668","Altri disturbi specificati del peritoneo"
"K669","Disturbo del peritoneo non specificato"
"K670","Peritonite da clamidie (A74 8 )"
"K671","Peritonite gonococcica (A54 8 )"
"K672","Peritonite luetica (A52 7 )"
"K673","Peritonite tubercolare (A18 3 )"
"K678","Altri disturbi del peritoneo in malattie infettive classificate altrove"
"K700","Steatosi epatica da alcol"
"K701","Epatite alcolica"
"K702","Fibrosi e sclerosi alcolica del fegato"
"K703","Cirrosi epatica alcolica"
"K704","Insufficienza epatica alcolica"
"K709","Epatopatia alcolica non specificata"
"K710","Epatopatia tossica con colestasi"
"K711","Epatopatia tossica con necrosi epatica"
"K712","Epatopatia tossica con epatite acuta"
"K713","Epatopatia tossica con epatite cronica persistente"
"K714","Epatopatia tossica con epatite cronica lobulare"
"K715","Epatopatia tossica con epatite cronica attiva"
"K716","Epatopatia tossica con epatite non classificata altrove"
"K717","Epatopatia tossica con fibrosi e cirrosi epatica"
"K718","Epatopatia tossica con altri disturbi del fegato"
"K719","Epatopatia tossica non specificata"
"K720","Insufficienza epatica acuta e subacuta"
"K721","Insufficienza epatica cronica"
"K729","Insufficienza epatica non specificata"
"K730","Epatite cronica persistente non classificata altrove"
"K731","Epatite cronica lobulare non classificata altrove"
"K732","Epatite cronica attiva non classificata altrove"
"K738","Altra epatite cronica, non classificata altrove"
"K739","Epatite cronica, non specificata"
"K740","Fibrosi epatica"
"K741","Sclerosi epatica"
"K742","Fibrosi epatica con sclerosi epatica"
"K743","Cirrosi biliare primitiva"
"K744","Cirrosi biliare secondaria"
"K745","Cirrosi biliare non specificata"
"K746","Altra e non specificata forma di cirrosi epatica"
"K750","Ascesso epatico"
"K751","Flebite delle vena porta"
"K752","Epatite reattiva aspecifica"
"K753","Epatite granulomatosa non classificata altrove"
"K754","Epatite autoimmune"
"K758","Altre malattie infiammatorie specificate del fegato"
"K759","Malattia infiammatoria epatica non specificata"
"K760","Degenerazione grassa del fegato non classificata altrove"
"K761","Congestione epatica cronica passiva"
"K762","Necrosi epatica centrale emorragica"
"K763","Infarto epatico"
"K764","Peliosi epatica"
"K765","Malattia epatica veno occlusiva"
"K766","Ipertensione portale"
"K767","Sindrome epatorenale"
"K768","Altre malattie specificate del fegato"
"K769","Malattia epatica non specificata"
"K770","Disturbi epatici in malattie infettive e parassitarie classificate altrove"
"K778","Disturbi epatici in altre malattie classificate altrove"
"K800","Calcolosi della colecisti con colecistite acuta"
"K801","Calcolosi della colecisti con altra colecistite"
"K802","Calcolosi della colecisti senza colecistite"
"K803","Calcolosi di via biliare con colangite"
"K804","Calcolosi di via biliare con colecistite"
"K805","Calcolosi coledocica senza colangite o colecistite"
"K808","Altra colelitiasi"
"K810","Colecistite acuta"
"K811","Colecistite cronica"
"K818","Altra colecistite"
"K819","Colecistite non specificata"
"K820","Ostruzione della colecisti"
"K821","Idrope della colecisti"
"K822","Perforazione della colecisti"
"K823","Fistola della colecisti"
"K824","Colesterolosi della colecisti"
"K828","Altre malattie specificate della colecisti"
"K829","Malattia della colecisti non specificata"
"K830","Colangite"
"K831","Ostruzione di dotto biliare"
"K832","Perforazione di dotto biliare"
"K833","Fistola biliare"
"K834","Spasmo dello sfintere di Oddi"
"K835","Cisti biliare"
"K838","Altre malattie specificate delle vie biliari"
"K839","Malattia di via biliare, non specificata"
"K850","Pancreatite acuta"
"K860","Pancreatite cronica da alcol"
"K861","Altra pancreatite cronica"
"K862","Cisti pancreatica"
"K863","Pseudocisti pancreatica"
"K868","Altre malattie specificate del pancreas"
"K869","Malattia del pancreas non specificata"
"K870","Disturbi della colecisti e delle vie biliari in malattie classificate altrove"
"K871","Disturbi del pancreas in malattie classificate altrove"
"K900","Malattia celiaca"
"K901","Sprue tropicale"
"K902","Sindrome dell'ansa cieca non classificata altrove"
"K903","Steatorrea pancreatica"
"K904","Malassorbimento da intolleranza, non classificato altrove"
"K908","Altra forma di malassorbimento intestinale"
"K909","Malassorbimento intestinale non specificato"
"K910","Vomito successivo a chirurgia gastrointestinale"
"K911","Sindromi post chirurgia gastrica"
"K912","Malassorbimento post chirurgico non classificato altrove"
"K913","Occlusione intestinale post operatoria"
"K914","Malfunzionamento di colostomia ed enterostomia"
"K915","Sindrome post colecistectomia"
"K918","Altri disturbi iatrogeni dell'apparato digerente non classificati altrove"
"K919","Disturbo iatrogeno dell'apparato digerente non specificato"
"K920","Ematemesi"
"K921","Melena"
"K922","Emorragia gastrointestinale non specificata"
"K928","Altre malattie specificate dell'apparato digerente"
"K929","Malattia dell'apparato digerente non specificata"
"K930","Disturbi da tubercolosi dell'intestino, peritoneo e linfonodi mesenterici (A18 3 )"
"K931","Megacolon in malattia di Chagas (B57 3 )"
"K938","Disturbi di altri organi specificati dell'apparato digerente in malattie classificate altrove "
"L000","Dermatite esfoliativa infantile (stafilococcica)"
"L010","Impetigine (qualsiasi microrganismo) (qualsiasi sede)"
"L011","Impetiginizzazione di altre dermatosi"
"L020","Ascesso cutaneo, foruncolo e favo del viso"
"L021","Ascesso cutaneo, foruncolo e favo del collo"
"L022","Ascesso cutaneo, foruncolo e favo del tronco"
"L023","Ascesso cutaneo, foruncolo o favo della regione glutea"
"L024","Ascesso cutaneo, foruncolo e favo degli arti"
"L028","Ascesso cutaneo, foruncolo o favo di altre sedi del corpo"
"L029","Ascesso cutaneo, foruncolo e favo non specificati"
"L030","Cellulite delle dita delle mani e dei piedi"
"L031","Cellulite di altre parti degli arti"
"L032","Cellulite del viso"
"L033","Cellulite del tronco"
"L038","Cellulite di altre sedi"
"L039","Cellulite non specificata"
"L040","Linfadenite acuta del viso, della testa e del collo"
"L041","Linfadenite acuta del tronco"
"L042","Linfadenite acuta di arto superiore"
"L043","Linfadenite acuta di arto inferiore"
"L048","Linfadenite acuta di altre parti del corpo"
"L049","Linfadenite acuta non specificata"
"L050","Cisti pilonidale con ascesso"
"L059","Cisti pilonidale senza ascesso"
"L080","Pioderma"
"L081","Eritrasma"
"L088","Altre infezioni locali, specificate, della cute e del tessuto sottocutaneo"
"L089","Infezione locale, non specificata, della cute e del tessuto sottocutaneo"
"L100","Pemfigo volgare"
"L101","Pemfigo vegetante"
"L102","Pemfigo foliaceo"
"L103","Pemfigo brasiliano (fogo selvagem)"
"L104","Pemfigo eritematoso"
"L105","Pemfigo da farmaci"
"L108","Altra forma di pemfigo"
"L109","Pemfigo non specificato"
"L110","Cheratosi follicolare acquisita"
"L111","Dermatosi acantolitica transitoria (Grover)"
"L118","Altri disturbi acantolitici specificati"
"L119","Disturbi acantolitici non specificati"
"L120","Pemfigoide bolloso"
"L121","Pemfigoide cicatriziale"
"L122","Malattia bollosa cronica dell’infanzia"
"L123","Epidermolisi bollosa acquisita"
"L128","Altra forma di pemfigoide"
"L129","Pemfigoide non specificato"
"L130","Dermatite erpetiforme"
"L131","Dermatite pustolare sottocorneale"
"L138","Altre malattie bollose specificate"
"L139","Malattia bollosa non specificata"
"L140","Malattie bollose in malattie classificate altrove"
"L200","Prurigo di Besnier"
"L208","Altra forma di dermatite atopica"
"L209","Dermatite atopica non specificata"
"L210","Seborrea del capo"
"L211","Dermatite seborroica infantile"
"L218","Altra dermatite seborroica"
"L219","Dermatite seborroica non specificata"
"L220","Dermatite da pannolino"
"L230","Dermatite allergica da contatto dovuta a metalli"
"L231","Dermatite allergica da contatto dovuta ad  adesivi"
"L232","Dermatite allergica da contatto dovuta a  cosmetici"
"L233","Dermatite allergica da contatto  dovuta a  farmaci a contatto con la cute"
"L234","Dermatite allergica da contatto dovuta a  coloranti"
"L235","Dermatite allergica da contatto causata dovuta ad altri prodotti chimici"
"L236","Dermatite allergica da contatto dovuta ad alimenti a contatto con la cute"
"L237","Dermatite allergica da contatto causata dovuta a  piante, eccetto alimentari"
"L238","Dermatite allergica da contatto dovuta ad  altri agenti"
"L239","Dermatite allergica da contatto non specificata"
"L240","Dermatite irritativa da contatto dovuta a detergenti"
"L241","Dermatite irritativa da contatto dovuta a oli e grassi"
"L242","Dermatite irritativa da contatto dovuta a solventi"
"L243","Dermatite irritativa da contatto dovuta a cosmetici"
"L244","Dermatite irritativa da contatto dovuta a farmaci a contatto con la cute"
"L245","Dermatite irritativa da contatto dovuta ad altri prodotti chimici"
"L246","Dermatite irritativa da contatto dovuta ad alimenti a contatto con la cute"
"L247","Dermatite irritativa da contatto dovuta a piante non alimentari"
"L248","Dermatite irritativa da contatto dovuta ad altri agenti"
"L249","Dermatite irritativa da contatto, dovuta a causa non specificata"
"L250","Dermatite da contatto, non specificata, causata da cosmetici"
"L251","Dermatite da contatto, non specificata, da farmaci a contatto con la cute"
"L252","Dermatite da contatto, non specificata, da coloranti"
"L253","Dermatite da contatto, non specificata, da altri prodotti chimici"
"L254","Dermatite da contatto, non specificata, da alimento a contatto con la cute"
"L255","Dermatite da contatto, non specificata, da piante, non alimentari"
"L258","Dermatite da contatto, non specificata, da altri fattori"
"L259","Dermatite da contatto, non specificata, da causa non specificata"
"L260","Dermatite esfoliativa"
"L270","Eruzione cutanea generalizzata provocata da farmaci e medicamenti"
"L271","Eruzione cutanea localizzata causata da farmaci e medicamenti"
"L272","Dermatite da ingestione di alimenti"
"L278","Dermatite da assunzione di altre sostanze per via interna (orale, enterica o"
"L279","Dermatite da assunzione di sostanze non specificate"
"L280","Lichen simplex cronicus"
"L281","Prurigo nodularis"
"L282","Altre forme di prurigo"
"L290","Prurito anale"
"L291","Prurito scrotale"
"L292","Prurito vulvare"
"L293","Prurito anogenitale non specificato"
"L298","Altre forme di prurito"
"L299","Prurito non  specificato"
"L300","Dermatite nummulare"
"L301","Disidrosi (pomfolice)"
"L302","Autosensibilizzazione cutanea"
"L303","Dermatite infettiva"
"L304","Eritema intertriginoso"
"L305","Pitiriasi alba"
"L308","Altra dermatite specificata"
"L309","Dermatite non specificata"
"L400","Psoriasi volgare"
"L401","Psoriasi pustolosa generalizzata"
"L402","Acrodermatite continua"
"L403","Pustolosi palmare e plantare"
"L404","Psoriasi guttata"
"L405","Psoriasi artropatica (M07 0 M07 3*, M09 0*)"
"L408","Altra forma di psoriasi"
"L409","Psoriasi non specificata"
"L410","Pitiriasi lichenoide e vaioliforme acuta"
"L411","Pitiriasi lichenoide cronica"
"L412","Papulosi linfomatoide"
"L413","Parapsoriasi a piccole placche"
"L414","Parapsoriasi a grandi placche"
"L415","Parapsoriasi retiforme"
"L418","Altra parapsoriasi"
"L419","Parapsoriasi non specificata"
"L420","Pitiriasi rosea"
"L430","Lichen planus ipertrofico"
"L431","Lichen planus bolloso"
"L432","Eruzione lichenoide a farmaco"
"L433","Lichen planus subacuto (attivo)"
"L438","Altre forme di lichen planus"
"L439","Lichen planus non specificato"
"L440","Pitiriasis rubra pilaris"
"L441","Lichen nitidus"
"L442","Lichen striatus"
"L443","Lichen ruber moniliformis"
"L444","Acrodermatite papulosa dell’infanzia (Giannotti Crosti)"
"L448","Altri disturbi papulosquamosi specificati"
"L449","Disturbo papulosquamoso non specificato"
"L450","Disturbi papulosquamosi  in malattie classificate altrove"
"L500","Orticaria allergica"
"L501","Orticaria idiopatica"
