"A00","Cholera"
"M8132","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Oberarm [Humerus, Ellenbogengelenk]"
"M8133","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Unterarm [Radius, Ulna, Handgelenk]"
"M8134","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8135","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8136","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8137","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8138","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8139","Osteoporose infolge Malabsorption nach chirurgischem Eingriff: Nicht näher bezeichnete Lokalisation"
"M814","Arzneimittelinduzierte Osteoporose"
"M8140","Arzneimittelinduzierte Osteoporose: Mehrere Lokalisationen"
"M8141","Arzneimittelinduzierte Osteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8142","Arzneimittelinduzierte Osteoporose: Oberarm [Humerus, Ellenbogengelenk]"
"M8143","Arzneimittelinduzierte Osteoporose: Unterarm [Radius, Ulna, Handgelenk]"
"M8144","Arzneimittelinduzierte Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8145","Arzneimittelinduzierte Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8146","Arzneimittelinduzierte Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8147","Arzneimittelinduzierte Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8148","Arzneimittelinduzierte Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8149","Arzneimittelinduzierte Osteoporose: Nicht näher bezeichnete Lokalisation"
"M815","Idiopathische Osteoporose"
"M8150","Idiopathische Osteoporose: Mehrere Lokalisationen"
"M8151","Idiopathische Osteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8152","Idiopathische Osteoporose: Oberarm [Humerus, Ellenbogengelenk]"
"M8153","Idiopathische Osteoporose: Unterarm [Radius, Ulna, Handgelenk]"
"M8154","Idiopathische Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8155","Idiopathische Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8156","Idiopathische Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8157","Idiopathische Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8158","Idiopathische Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8159","Idiopathische Osteoporose: Nicht näher bezeichnete Lokalisation"
"M816","Lokalisierte Osteoporose [Lequesne]"
"M8160","Lokalisierte Osteoporose [Lequesne]: Mehrere Lokalisationen"
"M8165","Lokalisierte Osteoporose [Lequesne]: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8166","Lokalisierte Osteoporose [Lequesne]: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8167","Lokalisierte Osteoporose [Lequesne]: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8169","Lokalisierte Osteoporose [Lequesne]: Nicht näher bezeichnete Lokalisation"
"M818","Sonstige Osteoporose"
"M8180","Sonstige Osteoporose: Mehrere Lokalisationen"
"M8181","Sonstige Osteoporose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8182","Sonstige Osteoporose: Oberarm [Humerus, Ellenbogengelenk]"
"M8183","Sonstige Osteoporose: Unterarm [Radius, Ulna, Handgelenk]"
"M8184","Sonstige Osteoporose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8185","Sonstige Osteoporose: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8186","Sonstige Osteoporose: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8187","Sonstige Osteoporose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8188","Sonstige Osteoporose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8189","Sonstige Osteoporose: Nicht näher bezeichnete Lokalisation"
"M819","Osteoporose, nicht näher bezeichnet"
"M8190","Osteoporose, nicht näher bezeichnet: Mehrere Lokalisationen"
"M8191","Osteoporose, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8192","Osteoporose, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]"
"M8193","Osteoporose, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]"
"M8194","Osteoporose, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8195","Osteoporose, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8196","Osteoporose, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8197","Osteoporose, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8198","Osteoporose, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8199","Osteoporose, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M82","Osteoporose bei anderenorts klassifizierten Krankheiten"
"M820","Osteoporose bei Plasmozytom"
"M8200","Osteoporose bei Plasmozytom: Mehrere Lokalisationen"
"M8201","Osteoporose bei Plasmozytom: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8202","Osteoporose bei Plasmozytom: Oberarm [Humerus, Ellenbogengelenk]"
"M8203","Osteoporose bei Plasmozytom: Unterarm [Radius, Ulna, Handgelenk]"
"M8204","Osteoporose bei Plasmozytom: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8205","Osteoporose bei Plasmozytom: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8206","Osteoporose bei Plasmozytom: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8207","Osteoporose bei Plasmozytom: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8208","Osteoporose bei Plasmozytom: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8209","Osteoporose bei Plasmozytom: Nicht näher bezeichnete Lokalisation"
"M821","Osteoporose bei endokrinen Störungen"
"M8210","Osteoporose bei endokrinen Störungen: Mehrere Lokalisationen"
"M8211","Osteoporose bei endokrinen Störungen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8212","Osteoporose bei endokrinen Störungen: Oberarm [Humerus, Ellenbogengelenk]"
"M8213","Osteoporose bei endokrinen Störungen: Unterarm [Radius, Ulna, Handgelenk]"
"M8214","Osteoporose bei endokrinen Störungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8215","Osteoporose bei endokrinen Störungen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8216","Osteoporose bei endokrinen Störungen: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8217","Osteoporose bei endokrinen Störungen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8218","Osteoporose bei endokrinen Störungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8219","Osteoporose bei endokrinen Störungen: Nicht näher bezeichnete Lokalisation"
"M828","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten"
"M8280","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen"
"M8281","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8282","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Oberarm [Humerus, Ellenbogengelenk]"
"M8283","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Unterarm [Radius, Ulna, Handgelenk]"
"M8284","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8285","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8286","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8287","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8288","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8289","Osteoporose bei sonstigen anderenorts klassifizierten Krankheiten: Nicht näher bezeichnete Lokalisation"
"M83","Osteomalazie im Erwachsenenalter"
"M830","Osteomalazie im Wochenbett"
"M8300","Osteomalazie im Wochenbett: Mehrere Lokalisationen"
"M8301","Osteomalazie im Wochenbett: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8302","Osteomalazie im Wochenbett: Oberarm [Humerus, Ellenbogengelenk]"
"M8303","Osteomalazie im Wochenbett: Unterarm [Radius, Ulna, Handgelenk]"
"M8304","Osteomalazie im Wochenbett: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8305","Osteomalazie im Wochenbett: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8306","Osteomalazie im Wochenbett: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8307","Osteomalazie im Wochenbett: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8308","Osteomalazie im Wochenbett: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8309","Osteomalazie im Wochenbett: Nicht näher bezeichnete Lokalisation"
"M831","Senile Osteomalazie"
"M8310","Senile Osteomalazie: Mehrere Lokalisationen"
"M8311","Senile Osteomalazie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8312","Senile Osteomalazie: Oberarm [Humerus, Ellenbogengelenk]"
"M8313","Senile Osteomalazie: Unterarm [Radius, Ulna, Handgelenk]"
"M8314","Senile Osteomalazie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8315","Senile Osteomalazie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8316","Senile Osteomalazie: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8317","Senile Osteomalazie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8318","Senile Osteomalazie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8319","Senile Osteomalazie: Nicht näher bezeichnete Lokalisation"
"M832","Osteomalazie im Erwachsenenalter durch Malabsorption"
"M8320","Osteomalazie im Erwachsenenalter durch Malabsorption: Mehrere Lokalisationen"
"M8321","Osteomalazie im Erwachsenenalter durch Malabsorption: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8322","Osteomalazie im Erwachsenenalter durch Malabsorption: Oberarm [Humerus, Ellenbogengelenk]"
"M8323","Osteomalazie im Erwachsenenalter durch Malabsorption: Unterarm [Radius, Ulna, Handgelenk]"
"M8324","Osteomalazie im Erwachsenenalter durch Malabsorption: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8325","Osteomalazie im Erwachsenenalter durch Malabsorption: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8326","Osteomalazie im Erwachsenenalter durch Malabsorption: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8327","Osteomalazie im Erwachsenenalter durch Malabsorption: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8328","Osteomalazie im Erwachsenenalter durch Malabsorption: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8329","Osteomalazie im Erwachsenenalter durch Malabsorption: Nicht näher bezeichnete Lokalisation"
"M833","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung"
"M8330","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Mehrere Lokalisationen"
"M8331","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8332","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Oberarm [Humerus, Ellenbogengelenk]"
"M8333","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Unterarm [Radius, Ulna, Handgelenk]"
"M8334","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8335","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8336","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8337","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8338","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8339","Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Nicht näher bezeichnete Lokalisation"
"M834","Aluminiumosteopathie"
"M8340","Aluminiumosteopathie: Mehrere Lokalisationen"
"M8341","Aluminiumosteopathie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8342","Aluminiumosteopathie: Oberarm [Humerus, Ellenbogengelenk]"
"M8343","Aluminiumosteopathie: Unterarm [Radius, Ulna, Handgelenk]"
"M8344","Aluminiumosteopathie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8345","Aluminiumosteopathie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8346","Aluminiumosteopathie: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8347","Aluminiumosteopathie: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8348","Aluminiumosteopathie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8349","Aluminiumosteopathie: Nicht näher bezeichnete Lokalisation"
"M835","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen"
"M8350","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Mehrere Lokalisationen"
"M8351","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8352","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Oberarm [Humerus, Ellenbogengelenk]"
"M8353","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Unterarm [Radius, Ulna, Handgelenk]"
"M8354","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8355","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8356","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8357","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8358","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8359","Sonstige arzneimittelinduzierte Osteomalazie bei Erwachsenen: Nicht näher bezeichnete Lokalisation"
"M838","Sonstige Osteomalazie im Erwachsenenalter"
"M8380","Sonstige Osteomalazie im Erwachsenenalter: Mehrere Lokalisationen"
"M8381","Sonstige Osteomalazie im Erwachsenenalter: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8382","Sonstige Osteomalazie im Erwachsenenalter: Oberarm [Humerus, Ellenbogengelenk]"
"M8383","Sonstige Osteomalazie im Erwachsenenalter: Unterarm [Radius, Ulna, Handgelenk]"
"M8384","Sonstige Osteomalazie im Erwachsenenalter: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8385","Sonstige Osteomalazie im Erwachsenenalter: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8386","Sonstige Osteomalazie im Erwachsenenalter: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8387","Sonstige Osteomalazie im Erwachsenenalter: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8388","Sonstige Osteomalazie im Erwachsenenalter: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8389","Sonstige Osteomalazie im Erwachsenenalter: Nicht näher bezeichnete Lokalisation"
"M839","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet"
"M8390","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Mehrere Lokalisationen"
"M8391","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8392","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]"
"M8393","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]"
"M8394","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
"M8395","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]"
"M8396","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]"
"M8397","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]"
"M8398","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]"
"M8399","Osteomalazie im Erwachsenenalter, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation"
"M84","Veränderungen der Knochenkontinuität"
"M840","Frakturheilung in Fehlstellung"
"M8400","Frakturheilung in Fehlstellung: Mehrere Lokalisationen"
"M8401","Frakturheilung in Fehlstellung: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]"
"M8402","Frakturheilung in Fehlstellung: Oberarm [Humerus, Ellenbogengelenk]"
"M8403","Frakturheilung in Fehlstellung: Unterarm [Radius, Ulna, Handgelenk]"
"M8404","Frakturheilung in Fehlstellung: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]"
